date,merged file,link_link,called (NaN: not available; 1=yes; 0=not interested;),irrelevant,Erlaubnis nochmal anrufen,hilfsbereit/gesprächig,website,Nummer,job,Notizen
22-11-04,22-11-04_Körner.csv,https://www.google.com/maps/place/Marlies+K%C3%B6rner/data=!4m7!3m6!1s0x47a9b31c90996cfb:0x961e1cbfb21a9262!8m2!3d52.64558!4d13.53752!16s%2Fg%2F1tfcgt8w!19sChIJ-2yZkByzqUcRYpIasr8cHpY?authuser=0&hl=de&rclk=1,0,,,,,,tote nummer,
,,https://www.google.com/maps/place/Anatolij+K%C3%B6rner/data=!4m7!3m6!1s0x47a84548580d0527:0x4435e217b0e54fa6!8m2!3d52.5043711!4d13.3326093!16s%2Fg%2F11b6lgw905!19sChIJJwUNWEhFqEcRpk_lsBfiNUQ?authuser=0&hl=de&rclk=1,,,,,,,,
,,https://www.google.com/maps/place/Epiderme+Anita+Riedel+Heilpraktikerin+Gabriele+K%C3%B6rner/data=!4m7!3m6!1s0x47a850e91ec10b3f:0x8cabeb5c9ef47fe3!8m2!3d52.4969322!4d13.3076473!16s%2Fg%2F1vd943c8!19sChIJPwvBHulQqEcR43_0nlzrq4w?authuser=0&hl=de&rclk=1,0,,,,,,tote nummer,
,,https://www.google.com/maps/place/Praxis+f%C3%BCr+Akupunktur+%26+Hom%C3%B6opathie+Katrin+Grossmann-Knauer%2F+Heilpraktiker/data=!4m7!3m6!1s0x47a9aac9bbbaadd5:0xe899bf9c7a26cf0a!8m2!3d52.654!4d13.25797!16s%2Fg%2F12hkj7g5h!19sChIJ1a26u8mqqUcRCs8mepy_meg?authuser=0&hl=de&rclk=1,,,,,,,,
,,https://www.google.com/maps/place/Praxis+f%C3%BCr+Hom%C3%B6opathie+und+Bioresonanztherapie+-+Heilpraktikerin+Simone+Gericke/data=!4m7!3m6!1s0x47a9ab0c54ac202f:0x959817f63f64c56b!8m2!3d52.6748057!4d13.3231348!16s%2Fg%2F11cs644zxn!19sChIJLyCsVAyrqUcRa8VkP_YXmJU?authuser=0&hl=de&rclk=1,0,,,,,,,
,,https://www.google.com/maps/place/Heilpraxis+Hom%C3%B6opathie+%26+Ern%C3%A4hrungsberatung/data=!4m7!3m6!1s0x47a9aafceaebcce7:0x320b51d6c7872339!8m2!3d52.6771!4d13.29186!16s%2Fg%2F11b6dp7mc4!19sChIJ58zr6vyqqUcROSOHx9ZRCzI?authuser=0&hl=de&rclk=1,,,,,,,,
,,https://www.google.com/maps/place/Naturheilpraxis+Cornelia+Gramoll/data=!4m7!3m6!1s0x47a9ab723e611181:0x6afa2416b09970cc!8m2!3d52.6724922!4d13.3325604!16s%2Fg%2F1q2w63vqh!19sChIJgRFhPnKrqUcRzHCZsBYk-mo?authuser=0&hl=de&rclk=1,0,,1,1,,,"Referenzen senden: https://corneliagramoll.de/ ; kennt eventuell Leute, die Überarbeitung gebrauchen können;",
,,https://www.google.com/maps/place/Naturheilpraxis+Kati+K%C3%B6rner/data=!4m7!3m6!1s0x470807358464c5af:0xfe2652d13347d3f8!8m2!3d51.8597782!4d13.9421648!16s%2Fg%2F11j7kbwg4_!19sChIJr8VkhDUHCEcR-NNHM9FSJv4?authuser=0&hl=de&rclk=1,,,,,,,,
,,https://www.google.com/maps/place/Kati+K%C3%B6rner+Bindungs-Stil-Akademie/data=!4m7!3m6!1s0x47080704581e0ffd:0x368ae9b66ff078e0!8m2!3d51.8600444!4d13.9427342!16s%2Fg%2F11fs0702t7!19sChIJ_Q8eWAQHCEcR4Hjwb7bpijY?authuser=0&hl=de&rclk=1,,,,,,,,
,,https://www.google.com/maps/place/heilpraktikerin+stefanie+simon/data=!4m7!3m6!1s0x47a854c9350984d5:0xcac8f11d425f6a7d!8m2!3d52.6402848!4d13.2858395!16s%2Fg%2F11c1v5nn1r!19sChIJ1YQJNclUqEcRfWpfQh3xyMo?authuser=0&hl=de&rclk=1,,,,,,,,
