date,merged file,link_link,called (NaN: not available; 1=yes; 0=not interested;),irrelevant,Erlaubnis nochmal anrufen,hilfsbereit/gesprächig,website,Nummer,job,Notizen
,97725_heilpraktiker.html,97725_heilpraktiker.html,,,,,,,,
,,https://www.google.com/maps/place/Heilpraktikerin+Ursula+M%C3%BCtzel/data=!4m7!3m6!1s0x47a2e5d349ab648b:0xf7c6090bad339882!8m2!3d50.1262792!4d9.9682165!16s%2Fg%2F11b6d5l4y9!19sChIJi2SrSdPlokcRgpgzrQsJxvc?authuser=0&hl=de&rclk=1,,,,,0,,hp,
,,https://www.google.com/maps/place/Liane+Hauk/data=!4m7!3m6!1s0x47a2e6a23846bfe1:0x359be7b5c8ee28a5!8m2!3d50.1500132!4d9.9601496!16s%2Fg%2F11dft2n1ql!19sChIJ4b9GOKLmokcRpSjuyLXnmzU?authuser=0&hl=de&rclk=1,,,,,http://lianehauk.de/,,hp,
,,https://www.google.com/maps/place/Ulrike+Kirchner+%E2%80%A2+Naturheilpraxis+%26+Familien-Coaching/data=!4m7!3m6!1s0x47a2e10c2d70ffc5:0xe813160ac2522712!8m2!3d50.20344!4d9.95428!16s%2Fg%2F1tq4q2mc!19sChIJxf9wLQzhokcREidSwgoWE-g?authuser=0&hl=de&rclk=1,,,,,https://ulrike-kirchner.de/,,hp,
,,https://www.google.com/maps/place/Rita+Pfeiffer+Heilpraktikerin/data=!4m7!3m6!1s0x47a2e7b7b73b11e1:0xf8183a43dcff01c!8m2!3d50.1143055!4d9.8904848!16s%2Fg%2F11btmqklyv!19sChIJ4RE7t7fnokcRHPDPPaSDgQ8?authuser=0&hl=de&rclk=1,,,,,http://www.walz-druckcenter.de/,,hp,
,,https://www.google.com/maps/place/Praxis+f%C3%BCr+Naturheilkunde/data=!4m7!3m6!1s0x47a2e31357c279fd:0x171dff8ef6428503!8m2!3d50.1890131!4d10.0542861!16s%2Fg%2F11rkg98l26!19sChIJ_XnCVxPjokcRA4VC9o7_HRc?authuser=0&hl=de&rclk=1,,,,,http://www.heilpraktiker-bad-kissingen.de/,,hp,
,,"https://www.google.com/maps/place/Praxis+f%C3%BCr+Klassische+Hom%C3%B6opathie,+Angela+G%C3%B6%C3%9Fmann/data=!4m7!3m6!1s0x47a2e569ca9fb665:0xb027cb58fb056fe1!8m2!3d50.0931613!4d10.0277602!16s%2Fg%2F1ptwffr7j!19sChIJZbafymnlokcR4W8F-1jLJ7A?authuser=0&hl=de&rclk=1",,,,,http://www.praxis-goessmann.de/,,hp,
,,https://www.google.com/maps/place/Heilpraktikerin+Wiebke+Marzahn/data=!4m7!3m6!1s0x479f581b31673907:0x6c35850d2ffa4c61!8m2!3d50.08518!4d10.114!16s%2Fg%2F11gcdmglc1!19sChIJBzlnMRtYn0cRYUz6Lw2FNWw?authuser=0&hl=de&rclk=1,,,,,https://www.heilpraktikerin-marzahn.de/,,"hp, zahn",
,,https://www.google.com/maps/place/Petra+Albrecht-Bickel/data=!4m7!3m6!1s0x47a2dd216baf5b4b:0xff1a1bb27d46832c!8m2!3d50.1167922!4d9.7993041!16s%2Fg%2F1tgp98ft!19sChIJS1uvayHdokcRLINGfbIbGv8?authuser=0&hl=de&rclk=1,,,,,https://www.albrecht-bickel.de/,,hp,
,,https://www.google.com/maps/place/Angelika+Brand/data=!4m7!3m6!1s0x47a2efe62f5d2213:0xa8694959b288cde0!8m2!3d50.0621026!4d10.032415!16s%2Fg%2F1tr7hd23!19sChIJEyJdL-bvokcR4M2IsllJaag?authuser=0&hl=de&rclk=1,,,,,0,,hp,
,,https://www.google.com/maps/place/Karin+Saum+Kosmetik+Fu%C3%9Fpflege/data=!4m7!3m6!1s0x47a2e42cb8512b8d:0xfc8d8f7abd84bdd4!8m2!3d50.12751!4d9.96867!16s%2Fg%2F11btmq4wfn!19sChIJjStRuCzkokcR1L2EvXqPjfw?authuser=0&hl=de&rclk=1,,,,,0,,podo,
,,https://www.google.com/maps/place/Naturheilpraxis/data=!4m7!3m6!1s0x47a2e3f738072593:0x5564996752382f82!8m2!3d50.205882!4d10.0906028!16s%2Fg%2F11j3rzrpkk!19sChIJkyUHOPfjokcRgi84UmeZZFU?authuser=0&hl=de&rclk=1,,,,,0,,hp,
,,https://www.google.com/maps/place/Carola+Wehner/data=!4m7!3m6!1s0x47a2e42071152599:0x33a5f8d8bb659098!8m2!3d50.145892!4d9.9674664!16s%2Fg%2F11g9syltlk!19sChIJmSUVcSDkokcRmJBlu9j4pTM?authuser=0&hl=de&rclk=1,,,,,https://www.babyclub.de/hebamme/hebamme/Carola+Wehner-Elfershausen.11350132/ueber-mich.html,,,
,,https://www.google.com/maps/place/Praxis+Dr.+Heilmann/data=!4m7!3m6!1s0x47a2e78b401a099f:0xa79b2834e6040714!8m2!3d50.1464299!4d9.9625165!16s%2Fg%2F11q_2s14gs!19sChIJnwkaQIvnokcRFAcE5jQom6c?authuser=0&hl=de&rclk=1,,,,,0,,"hp, doc",
,,https://www.google.com/maps/place/Dr.+med.+Anton+Heilmann/data=!4m7!3m6!1s0x47a2e69f77c36d57:0x64179b1d5073a72a!8m2!3d50.14716!4d9.96392!16s%2Fg%2F1tfbgr6s!19sChIJV23Dd5_mokcRKqdzUB2bF2Q?authuser=0&hl=de&rclk=1,,,,,0,,"hp, doc",
,,https://www.google.com/maps/place/Tanja+Bich/data=!4m7!3m6!1s0x47a2f5a1434a25cb:0xa9db3c1f55a8bd43!8m2!3d49.9462298!4d10.1873448!16s%2Fg%2F1ptzy2f54!19sChIJyyVKQ6H1okcRQ72oVR8826k?authuser=0&hl=de&rclk=1,,,,,http://www.naturheilpraxis-bich.de/,,hp,
,,https://www.google.com/maps/place/Andreas+Ke%C3%9Fler+Heilpraktiker/data=!4m7!3m6!1s0x47a2e4b629a787d9:0xbf3fe50adacfefe6!8m2!3d50.6350673!4d10.3358061!16s%2Fg%2F1tdwzk05!19sChIJ2YenKbbkokcR5u_P2grlP78?authuser=0&hl=de&rclk=1,,,,,https://www.hnc-kessler.de/,,hp,
,,https://www.google.com/maps/place/Zahn%C3%A4rztliches+Zentrum+DRes.+RIEDEL/data=!4m7!3m6!1s0x47a2e420bec1fdc5:0xdf7c3a9489afd801!8m2!3d50.1434945!4d9.9675259!16s%2Fg%2F1tgdbdzh!19sChIJxf3BviDkokcRAdiviZQ6fN8?authuser=0&hl=de&rclk=1,,,,,http://www.zahnmedizin-elfershausen.de/,,"zahn, doc",
